squadra,nome,id_fantacalcio,status,note
Atalanta,Carnesecchi,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Atalanta,Bellanova,,BALLOTTAGGIO,"Probabile XI; ballottaggio con Zappacosta. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Atalanta,Kristensen,6485,TITOLARE,SOS Fanta guida difensori 2026/27: atteso titolare accanto a Scalvini dopo l'investimento. Fonte utente.
Atalanta,Scalvini,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Atalanta,Bernasconi,7219,TITOLARE,"Si gioca il posto a sinistra con Ahanor. SOS Fanta guida 2026/27, pag. 2."
Atalanta,Samardzic,,BALLOTTAGGIO,"Probabile XI; ballottaggio con Pasalic. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Atalanta,Gaetano,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Atalanta,Ederson,5792,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Atalanta,De Ketelaere,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Atalanta,Scamacca,,BALLOTTAGGIO,"Probabile XI; ballottaggio con Krstovic. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Atalanta,Raspadori,4371,TITOLARE,"Probabile XI; ballottaggio con Elmas. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Atalanta,Zappacosta,554,BALLOTTAGGIO,"Parte davanti a Bellanova sulla fascia destra. SOS Fanta guida 2026/27, pag. 2."
Atalanta,Hien,,RISERVA,"Fuori fino a ottobre inoltrato; al rientro si giochera il posto. SOS Fanta guida 2026/27, pag. 2."
Atalanta,Pasalic,,RISERVA,"Non e titolare fisso ed entra nelle rotazioni dall'inizio o a gara in corso. SOS Fanta guida 2026/27, pag. 3."
Atalanta,Krstovic,,BALLOTTAGGIO,"Alternativa in ballottaggio con Scamacca. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Atalanta,Elmas,,RISERVA,"Parte dietro a Samardzic ed e un'alternativa tra mezzala ed esterno. SOS Fanta guida 2026/27, pag. 3."
Atalanta,Ahanor,6916,BALLOTTAGGIO,"Si gioca il posto a sinistra con Bernasconi. SOS Fanta guida 2026/27, pag. 2."
Atalanta,Kossounou,5578,BALLOTTAGGIO,"Insegue nelle gerarchie e rientra nella concorrenza per i posti centrali. SOS Fanta guida 2026/27, pag. 2."
Atalanta,Zalewski,5422,RISERVA,"Non e titolare fisso, ma entra regolarmente nelle rotazioni. SOS Fanta guida 2026/27, pag. 3."
Bologna,Skorupski,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Bologna,Zortea,,BALLOTTAGGIO,"Si gioca il posto a destra con Holm e De Silvestri. SOS Fanta guida 2026/27, pag. 2."
Bologna,Vitik,,BALLOTTAGGIO,"Probabile XI; ballottaggio con Casale. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Bologna,Heggem,7212,BALLOTTAGGIO,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Bologna,Miranda,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Bologna,Moro,6054,TITOLARE,"Si gioca un posto in mediana con Pobega. SOS Fanta guida 2026/27, pag. 3."
Bologna,Ferguson,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Bologna,Orsolini,2167,BALLOTTAGGIO,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Bologna,Bernardeschi,,BALLOTTAGGIO,"Probabile XI; ballottaggio con Amondarain / Odgaard. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Bologna,Rowe,,BALLOTTAGGIO,"Probabile XI; ballottaggio con Cambiaghi. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Bologna,Dovbyk,6675,BALLOTTAGGIO,SOS Fanta guida attaccanti 2026/27: davanti a Piccoli nella gerarchia iniziale. Fonte utente.
Bologna,Casale,,BALLOTTAGGIO,"Alternativa in ballottaggio con Vitik. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Bologna,Amondarain,,RISERVA,"Non parte titolare e potra entrare nelle rotazioni dopo l'ambientamento. SOS Fanta guida 2026/27, pag. 3."
